gene,importance
AL034405.1,0.03536285
ENOX2,0.065976866
FIRRE,0.013265777
MBNL3,0.018957777
MIR503HG,0.17609398
ZIC3,0.1414119
FGF13,0.024022207
MAGEC3,0.10748234
AL589669.1,0.11323112
CSAG1,0.45008302
BGN,0.117526054
GAB3,0.054994266
ANGPT2,0.02833323
SGCZ,0.018928096
MSR1,0.10717777
AC011586.1,0.4081656
AC068992.1,0.29720268
SLC7A2,0.055363093
AC027117.2,0.03126162
AC087273.2,0.13899827
AC100849.1,0.021881407
SLC18A1,0.20577745
AC107959.3,0.24243295
TNFRSF10D,0.16269535
TNFRSF10A,0.08464394
STC1,0.40635228
ADAM28,0.02429703
AC009623.1,0.09703702
AC090103.1,0.073944815
AC090150.1,0.21205316
CLU,0.0045769103
KIF13B,0.02783989
AC108449.1,0.074079804
RBPMS,0.0609502
NRG1,0.011673931
AF279873.3,0.058725428
SFRP1,0.05528668
GOLGA7,0.048863444
GINS4,0.16924298
CEBPD,0.056217577
AC022568.1,0.14743793
ST18,0.052675724
AC103831.1,0.19692923
RGS20,0.048274856
SOX17,0.24742381
LYN,0.011293626
AC009597.1,0.49422303
AC104051.2,0.2137265
AC087664.2,0.16339324
AC022182.1,0.081727594
AC022182.2,0.168692
NKAIN3,0.028449336
CYP7B1,0.0217951
LINC00251,0.035369363
LINC01299,0.15088479
AC084082.1,0.14730947
CRH,0.48358953
AC022874.1,0.16785096
PREX2,0.02965229
C8orf34,0.023517886
EYA1,0.005280098
LY96,0.02176755
PKIA-AS1,0.025399672
PAG1,0.029881446
PMP2,0.068092294
CA2,0.12330767
AC093331.2,0.045252252
AC100801.1,0.076179534
ATP6V0D2,0.14937867
LRRC69,0.05005086
SLC26A7,0.1453575
GEM,0.040581886
MATN2,0.03587097
AP003354.2,0.10914572
BAALC-AS1,0.07962793
PKHD1L1,0.042570185
LINC01608,0.029534228
DEPTOR,0.025152743
AC100858.3,0.34571028
CCDC26,0.055843268
TMEM71,0.10801011
SLA,0.0119984
NDRG1,0.025828147
LINC02055,0.14095584
AC079015.1,0.09967167
AC104417.2,0.11605648
GPIHBP1,0.025756842
AF186192.1,0.20835315
C9orf66,0.36391178
DOCK8,0.04918505
AL161725.1,0.055029828
DMRT2,0.10034045
GLIS3,0.01218214
RLN1,0.4225982
AL589678.1,0.047101613
LURAP1L-AS1,0.073085405
BNC2,0.04067329
CDKN2A,0.15114702
IFT74-AS1,0.18797244
GLIPR2,0.06805164
ANKRD18A,0.015302751
BX255923.1,0.22258015
AL590399.1,0.07179032
CR786580.1,0.23483919
PGM5,0.102228664
FAM189A2,0.16052051
TRPM3,0.035510313
ALDH1A1,0.028096126
TRPM6,0.03725963
PCA3,0.04079016
GNA14,0.05398758
GNA14-AS1,0.03748702
SLC28A3,0.08089801
GADD45G,0.04015704
SYK,0.067339614
AL353764.1,0.28438833
OMD,0.08258182
SUSD3,0.1724476
HSD17B3,0.10239533
AL160269.1,0.011304772
SLC35D2,0.02182799
COL15A1,0.044591594
TGFBR1,0.026292257
PLPPR1,0.011113913
TMEM246-AS1,0.023033163
LINC01505,0.015623155
PALM2,0.07519131
AL158829.1,0.033732135
PALM2-AKAP2,0.052015346
SVEP1,0.07323043
MUSK,0.009891589
LPAR1,0.017199712
AL162414.1,0.07449455
C9orf84,0.027657589
FAM225A,0.03882161
SLC31A2,0.049784716
WHRN,0.028404355
TNFSF8,0.13875629
TNC,0.20401907
B3GNT10,0.097140454
GSN,0.037809994
GSN-AS1,0.05707274
STOM,0.04338804
PTGS1,0.10905071
CRB2,0.06264006
PBX3,0.04536441
AL162391.1,0.09831405
ENG,0.03734268
AL359091.1,0.10536184
CERCAM,0.05940913
AL136141.1,0.16619943
AIF1L,0.040258892
ABCA2,0.02344369
TOR4A,0.21136916
PGGHG,0.04517744
IFITM2,0.17020492
IFITM3,0.033956796
RNH1,0.06349236
KCNQ1,0.08267439
KCNQ1-AS1,0.28000286
KCNQ1DN,0.20375216
CDKN1C,0.059449006
ART5,0.29028502
RHOG,0.048125137
OR52K1,0.041626353
HBB,0.071132235
HBD,0.3338288
CAVIN3,0.05100258
SYT9,0.017836906
PPFIBP2,0.012085237
CYB5R2,0.0588382
STK33,0.055463564
ADM,0.15228635
SPON1,0.038096372
SOX6,0.008015739
SVIP,0.018166646
LUZP2,0.03371067
AC099687.1,0.19384702
LINC00678,0.38592038
AC090833.1,0.07086573
LMO2,0.06824308
ABTB2,0.0625389
CD44,0.014521153
SLC1A2,0.042988494
PAMR1,0.1443292
LDLRAD3,0.01289387
PRR5L,0.006878948
LRRC4C,0.009983976
CD82,0.016650297
LRP4-AS1,0.05493583
FOLH1,0.034241993
APLNR,0.11986122
AP001636.3,0.077913314
MPEG1,0.15823707
AP000442.1,0.20590627
MS4A6A,0.26459977
MS4A4E,0.06447997
MS4A4A,0.1496426
MS4A14,0.65657634
AP003721.3,0.04778159
SLC15A3,0.10127426
MYRF,0.0033080194
TMEM258,0.027608419
BEST1,0.036077213
SCGB1D2,0.3023728
AHNAK,0.0623796
TMEM262,0.32838145
NEAT1,0.12881513
SIPA1,0.1234023
OVOL1-AS1,0.31868234
AP000759.1,0.23909397
AP001107.7,0.12285182
CD248,0.10807151
CLCF1,0.29519367
CARNS1,0.07828554
CABP4,0.025223553
ACY3,0.16326727
ALDH3B1,0.14994697
TCIRG1,0.07225147
AP002807.1,0.23870933
MRGPRF-AS1,0.30980548
AP000439.3,0.22081141
FOLR2,0.23845665
ARAP1-AS1,0.21207745
UCP2,0.0887559
KCNE3,0.10689307
SLCO2B1,0.036280837
LRRC32,0.07555216
B3GNT6,0.18093713
AP003032.1,0.18532614
AP003086.2,0.017679045
MIR4300HG,0.08177581
AP002370.2,0.032959845
AP005436.1,0.30173686
CTSC,0.065911025
MAML2,0.06583504
CNTN5,0.046417296
ARHGAP42,0.047368392
PGR,0.06278757
